fein,employer_name,lca_count,certified_count,worksite_cities,worksite_counties
34-6565596,"Ernst & Young U.S. LLP",558,543,"Chicago,CHICAGO,Aurora,Bolingbrook,Plainfield,New York,Evanston,Palatine,Naperville,Vernon Hills,Skokie,Mundelein,Hoffman Estates,Schaumburg,Oakbrook Terrace,Joliet,Glenview,Maywood,South Barrington,Wheaton,IL,Cook,Algonquin,Algonquine,Buffalo Grove,Oak Park,HIGHLAND PARK,Northbrook,Batavia,Lake Forest,Morton Grove,Deerfield,Oak Brook","COOK,DUPAGE,WILL,LAKE,MCHENRY,KANE"
13-3924155,"COGNIZANT TECHNOLOGY SOLUTIONS US CORP",449,446,"Chicago,Arlington Heights,Aurora,Lake Forest,Grayslake,Lake Bluff,Warrenville,Mettawa,Riverwoods,Buffalo Grove,Oakbrook Terrace,North Chicago,Lombard,Naperville,Oak Brook,Waukegan,Lindenhurst,Deerfield,Westmont,Schaumburg,Lisle,Lincolnshire,Des Plaines,Montgomery,Batavia,Wheeling,Glenview,Mount Prospect,SCHAUMBURG,METTAWA,CHICAGO,WAUKEGAN,NORTH CHICAGO,OAK BROOK,LAKE FOREST,BANNOCKBURN,Plainfield,DEERFIELD,RIVERWOODS,Palatine,Mundelein,Vernon Hills,Hanover Park,Pingree Grove,NAPERVILLE,Bolingbrook,Crystal Lake,Prospect Heights","COOK,KANE,LAKE,DUPAGE,WILL,MCHENRY"
98-0429806,"Tata Consultancy Services Limited",310,308,"Waukegan,Chicago,Buffalo Grove,DEERFIELD,Des Plaines,Downers Grove,Naperville,Franklin Park,Deerfield,Lake Forest,CHICAGO,Northbrook,Lisle,Rosemont,North Chicago,Schaumburg,Bannockburn,La Grange,Rolling Meadows,Abbott Park,Oak Brook,LINCOLNSHIRE,Addison,Lincolnshire,Round Lake,Mettawa,ROSEMONT,Hoffman Estates,Westchester,NORTH CHICAGO,Arlington Heights","LAKE,COOK,DUPAGE"
27-3572632,"DFS Corporate Services LLC",255,255,"Riverwoods,Chicago,Buffalo Grove","LAKE,COOK"
36-2167817,"Northwestern University",254,242,"Evanston,Chicago,Schaumburg,CHICAGO",COOK
36-2177139,"University of Chicago",245,242,"Chicago,Lemont,chicago,CHICAGO",COOK
26-1645086,"Grandison Management, Inc.",224,222,"Wauconda,,Lake Zurich,Westmont,,Willowbrook,Northbrook,Skokie,Oak Brook,Glenview,,North Aurora,Long Grove,South Holland,Schaumburg,Lombard,Palos Heights,Orland Park,Hickory Hills,Joliet,Roselle,Hickory Hills,,Des Plaines,,Plainfield,Park Ridge,Westmont,Glenview,Evergreen Park,,Country Club Hills,,La Grange Park,Lansing,Elmhurst,,La Grange,Crestwood,,Wauconda,Highland Park,,Joliet,,Zion,Zion,,Highland Park,Lemont,Dolton,,Elgin,,Willowbrook,,South Elgin,Evergreen Park,Crete,,Burbank,Indian Head Park,,Chicago Heights,,Chicago,Buffalo Grove,Chicago,,Country Club Hills,Elmhurst,Beecher,Bloomingdale,Chicago Heights,Aurora,Niles,,Chicago Ridge,,Dolton,Des Plaines,Crestwood,Naperville,Riverwoods,,Bellwood,,Elgin,Crete,Chicago Ridge,Bensenville,Northbrook,,Waukegan,,Park Ridge,,Niles,Westchester,Oak Lawn,Crystal Lake,,Wilmington,West Chicago,Hillside,Midlothian,Palatine,Oak Lawn,,Glenwood,,Hillside,,Palatine,,Evanston,,West Chicago,,Forest Park,,Highwood,,Burbank,,Wilmington,,Naperville,,Westchester,,Midlothian,,Forest Park,Evanston,Glenwood,Aurora,,Berwyn,,Rolling Meadows,","LAKE,DUPAGE,COOK,KANE,WILL,MCHENRY"
36-2596612,"Medline Industries, LP.",215,215,"Northfield,Lindenhurst,Libertyville,Mundelein,Elgin,Schaumburg,Bolingbrook,Lisle,Buffalo Grove,Palatine,Des Plaines,Itasca,Lake Zurich,Round Lake,Arlington Heights,Chicago,Mt. Prospect,Vernon Hills,Wheeling,Northbrook,Evanston,Deerfield,Lombard,Prospect Heights,Aurora,Hawthorn Woods,Naperville,Hoffman Estates,Buffalogrove,Plainfield,Huntley","COOK,LAKE,KANE,WILL,DUPAGE,MCHENRY"
22-2575929,"Capgemini America, Inc.",192,188,"Lisle,CHICAGO,Chicago,Schaumburg,Lombard,GLENVIEW,Riverwoods,SCHAUMBURG,Aurora,Wheeling,Naperville,Arlington Heights,Itasca,Plainfield,NAPERVILLE,Libertyville,AURORA,RIVERWOODS,WESTCHESTER,ISLAND LAKE,DEERFIELD,Glendale Heights,Mount Prospect,Hoffman Estates,Buffalo Grove,Downers Grove,Waukegan","DUPAGE,COOK,LAKE,WILL,MCHENRY"
06-1454513,"Deloitte Consulting LLP",159,155,"Chicago,Lombard,Naperville,Harwood Heights,Buffalo Grove,Lake Bluff,Romeoville,Aurora,Plainfield,Vernon Hills,Schaumburg,Evanston,Waukegan,chicago,Elk Grove Village,Roselle,Des Plaines","COOK,DUPAGE,LAKE,WILL"
