fein,employer_name,lca_count,certified_count,worksite_cities
34-6565596,Ernst & Young U.S. LLP,517,503,"Chicago,CHICAGO,New York,Evanston,Palatine,Skokie,Hoffman Estates,Schaumburg,Glenview,Maywood,IL,Cook,Oak Park,Northbrook,Morton Grove"
36-2167817,Northwestern University,254,242,"Evanston,Chicago,Schaumburg,CHICAGO"
36-2177139,University of Chicago,245,242,"Chicago,Lemont,chicago,CHICAGO"
13-3924155,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,198,196,"Chicago,Arlington Heights,Buffalo Grove,Schaumburg,Des Plaines,Wheeling,Glenview,Mount Prospect,SCHAUMBURG,CHICAGO,Palatine,Hanover Park,Prospect Heights"
98-0429806,Tata Consultancy Services Limited,161,161,"Chicago,Des Plaines,Franklin Park,CHICAGO,Northbrook,Rosemont,Schaumburg,Naperville,La Grange,Rolling Meadows,Deerfield,ROSEMONT,Hoffman Estates,Westchester,Arlington Heights"
26-1645086,"Grandison Management, Inc.",154,152,"Northbrook,Skokie,Glenview,,South Holland,Schaumburg,Palos Heights,Orland Park,Hickory Hills,Hickory Hills,,Des Plaines,,Park Ridge,Glenview,Evergreen Park,,Country Club Hills,,La Grange Park,Lansing,La Grange,Crestwood,,Lemont,Dolton,,Evergreen Park,Burbank,Indian Head Park,,Chicago Heights,,Chicago,Chicago,,Country Club Hills,Chicago Heights,Niles,,Chicago Ridge,,Dolton,Des Plaines,Crestwood,Bellwood,,Chicago Ridge,Northbrook,,Park Ridge,,Niles,Westchester,Oak Lawn,Hillside,Midlothian,Palatine,Oak Lawn,,Glenwood,,Hillside,,Palatine,,Evanston,,Forest Park,,Burbank,,Westchester,,Midlothian,,Forest Park,Evanston,Glenwood,Berwyn,,Rolling Meadows,"
06-1454513,Deloitte Consulting LLP,144,141,"Chicago,Harwood Heights,Schaumburg,Evanston,chicago,Elk Grove Village,Des Plaines"
22-2575929,"Capgemini America, Inc.",131,128,"CHICAGO,Chicago,Schaumburg,GLENVIEW,SCHAUMBURG,Wheeling,Arlington Heights,WESTCHESTER,Mount Prospect,Hoffman Estates"
36-2596612,"Medline Industries, LP.",124,124,"Northfield,Schaumburg,Buffalo Grove,Palatine,Des Plaines,Arlington Heights,Chicago,Mt. Prospect,Wheeling,Northbrook,Evanston,Prospect Heights,Hoffman Estates"
13-2624428,JPMorgan Chase & Co.,95,94,Chicago
