fein,employer_name,status,sent_date,notes
20-2079434,"Magnetar Capital, LLC",sent,2026-06-08,
26-0320547,Coforge Limited,sent,2026-06-08,
36-3445028,"Ornua Foods North America, Inc.",sent,2026-06-08,
36-3466802,Evanston Community Foundation,sent,2026-06-09,
36-4169779,"Beghou Consulting, LLC",sent,2026-06-09,
36-4873811,BriteCo Inc.,sent,2026-06-09,
82-1557759,"Aimpoint Digital, LP",sent,2026-06-09,
82-4875983,"Abnormal AI, Inc.",sent,2026-06-09,
93-4362081,Collinear Ai Inc.,sent,2026-06-09,
26-1173892,"Zscaler, Inc.",sent,2026-06-09,
47-3298624,Hewlett Packard Enterprise Company,sent,2026-06-09,
