soc_major,group_name,cnt,pct
15,Computer & Mathematical,486523,61.92
17,Architecture & Engineering,76617,9.75
13,Business & Financial,62595,7.97
11,Management,41342,5.26
19,"Life, Physical & Social Science",35911,4.57
29,Healthcare Practitioners,32494,4.14
25,Education,30917,3.94
27,Other,6474,0.82
23,Other,4125,0.53
41,Other,4108,0.52
21,Other,3835,0.49
43,Other,313,0.04
35,Other,81,0.01
31,Other,80,0.01
53,Other,64,0.01
49,Other,61,0.01
39,Other,46,0.01
51,Other,43,0.01
47,Other,24,0.0
33,Other,10,0.0
37,Other,6,0.0
12,Other,6,0.0
45,Other,4,0.0
40,Other,4,0.0
20,Other,3,0.0
54,Other,1,0.0
